numeor epoch;batch_size;nb_epochs;learning_rate;input_size;hidden_size;output_size;weight_init_range;Training Loss;Validation Loss;Test Loss;Accuracy
1;3;10;0,005;784;128;10;(-0,001, 0,001);0,766699831;0,32155126;0,316028124;91,01428571
2;3;10;0,005;784;128;10;(-0,001, 0,001);0,280973613;0,2422098;0,233347927;93,18571429
3;3;10;0,005;784;128;10;(-0,001, 0,001);0,215698662;0,192513856;0,185457161;94,3
4;3;10;0,005;784;128;10;(-0,001, 0,001);0,17645782;0,168902623;0,160520866;95,34285714
5;3;10;0,005;784;128;10;(-0,001, 0,001);0,149129358;0,149362322;0,140367916;96,02857143
6;3;10;0,005;784;128;10;(-0,001, 0,001);0,129313985;0,136699414;0,129809937;96,22857143
7;3;10;0,005;784;128;10;(-0,001, 0,001);0,113137638;0,122149654;0,114311431;96,77142857
8;3;10;0,005;784;128;10;(-0,001, 0,001);0,101070843;0,116868758;0,109155046;96,85714286
9;3;10;0,005;784;128;10;(-0,001, 0,001);0,09054902;0,111716374;0,105068937;96,95714286
10;3;10;0,005;784;128;10;(-0,001, 0,001);0,082435313;0,102707678;0,096079618;97,11428571
1;4;10;0,005;784;128;10;(-0,001, 0,001);0,903637077;0,377102513;0,355268841;89,8
2;4;10;0,005;784;128;10;(-0,001, 0,001);0,310495381;0,27676073;0,257685996;92,37142857
3;4;10;0,005;784;128;10;(-0,001, 0,001);0,243086422;0,230009515;0,213822153;93,78571429
4;4;10;0,005;784;128;10;(-0,001, 0,001);0,203132573;0,19872926;0,185568612;94,6
5;4;10;0,005;784;128;10;(-0,001, 0,001);0,175838628;0,178367667;0,167209156;95,3
6;4;10;0,005;784;128;10;(-0,001, 0,001);0,154521171;0,160950798;0,151378876;95,47142857
7;4;10;0,005;784;128;10;(-0,001, 0,001);0,137378745;0,146494631;0,137516146;95,92857143
8;4;10;0,005;784;128;10;(-0,001, 0,001);0,123243556;0,136961988;0,127597472;96,22857143
9;4;10;0,005;784;128;10;(-0,001, 0,001);0,111414796;0,1269529;0,117875581;96,41428571
10;4;10;0,005;784;128;10;(-0,001, 0,001);0,101790642;0,120202539;0,111924863;96,68571429
1;5;10;0,005;784;128;10;(-0,001, 0,001);1,038084986;0,405907061;0,38308169;89,44285714
2;5;10;0,005;784;128;10;(-0,001, 0,001);0,340419213;0,306326675;0,284253514;91,64285714
3;5;10;0,005;784;128;10;(-0,001, 0,001);0,276138917;0,264395613;0,242769928;92,7
4;5;10;0,005;784;128;10;(-0,001, 0,001);0,234567515;0,229153372;0,210529614;93,94285714
5;5;10;0,005;784;128;10;(-0,001, 0,001);0,204557998;0,211147634;0,194026937;94,55714286
6;5;10;0,005;784;128;10;(-0,001, 0,001);0,181935926;0,192744744;0,175087315;95,15714286
7;5;10;0,005;784;128;10;(-0,001, 0,001);0,163792744;0,175465987;0,161209824;95,35714286
8;5;10;0,005;784;128;10;(-0,001, 0,001);0,14865324;0,161832707;0,147655153;95,72857143
9;5;10;0,005;784;128;10;(-0,001, 0,001);0,135785996;0,156304819;0,143164395;95,84285714
10;5;10;0,005;784;128;10;(-0,001, 0,001);0,125008107;0,14922283;0,136985207;96,12857143
1;2;10;0,0075;784;128;10;(-0,001, 0,001);0,50177255;0,231052018;0,212760111;93,52857143
2;2;10;0,0075;784;128;10;(-0,001, 0,001);0,18980513;0,165071103;0,149761624;95,67142857
3;2;10;0,0075;784;128;10;(-0,001, 0,001);0,136756806;0,141212462;0,130757603;96,21428571
4;2;10;0,0075;784;128;10;(-0,001, 0,001);0,106518465;0,116521155;0,102249682;97,25714286
