"numero epoch","batch_size","nb_epochs","learning_rate","input_size","hidden_size","output_size","weight_init_range","Training Loss","Validation Loss","Test Loss","Accuracy"
"7","3","10","0.01","784","(256, 256)","10","(-0,01, 0,01)","0.038525110076964","0.091621458145094","0.070345199131935","97.8"
"2","4","10","0.01","784","(256, 256)","10","(-0,01, 0,01)","0.2336848252983","0.18020980341627","0.16766645211677","95.057142857143"
"8","5","10","0.01","784","(256, 256)","10","(-0,01, 0,01)","0.05176947161453","0.080092488530273","0.075598009995087","97.757142857143"
"1","2","10","0.001","784","(256, 256, 256)","10","(-0,01, 0,01)","2.3016738355254","2.3019296176471","2.3016949829374","10.842857142857"
"2","3","10","0.001","784","(256, 256, 256)","10","(-0,01, 0,01)","2.3012334193928","2.301234197276","2.3016949683658","10.842857142857"
"3","4","10","0.001","784","(256, 256, 256)","10","(-0,01, 0,01)","2.3011376200971","2.301392211687","2.3016730873925","10.842857142857"
"2","5","10","0.001","784","(256, 256, 256)","10","(-0,01, 0,01)","2.3012055496611","2.3012655393472","2.3016619706154","10.842857142857"
"5","2","10","0.01","784","(256, 256, 256)","10","(-0,01, 0,01)","0.080317083768655","0.1132264185991","0.089905577217206","97.357142857143"
"6","3","10","0.01","784","(256, 256, 256)","10","(-0,01, 0,01)","0.077991857862161","0.10951163050123","0.10573714083815","96.985714285714"
"6","4","10","0.01","784","(256, 256, 256)","10","(-0,01, 0,01)","0.10642605648075","0.12152148751013","0.10667960218372","97.142857142857"
"8","5","10","0.01","784","(256, 256, 256)","10","(-0,01, 0,01)","0.089007059155501","0.13066469276562","0.10757953237249","96.885714285714"
"2","2","10","0.001","784","(256, 256, 256, 256)","10","(-0,01, 0,01)","2.3012717204056","2.3011794002851","2.3017177470752","10.842857142857"
"1","3","10","0.001","784","(256, 256, 256, 256)","10","(-0,01, 0,01)","2.3016350630209","2.3017360003789","2.3015020306333","10.842857142857"
"5","4","10","0.001","784","(256, 256, 256, 256)","10","(-0,01, 0,01)","2.301223176415","2.3010529848129","2.3016260933195","10.842857142857"
"2","5","10","0.001","784","(256, 256, 256, 256)","10","(-0,01, 0,01)","2.3012161332937","2.3013977066865","2.3015866407326","10.842857142857"
"3","2","10","0.01","784","(256, 256, 256, 256)","10","(-0,01, 0,01)","2.3021912486307","2.3031074141699","2.3032484721456","10.842857142857"
"1","3","10","0.01","784","(256, 256, 256, 256)","10","(-0,01, 0,01)","2.3017973785599","2.3042392042137","2.3017796683536","10.942857142857"
"2","4","10","0.01","784","(256, 256, 256, 256)","10","(-0,01, 0,01)","2.3018941598468","2.3014804332218","2.3019805112566","10.842857142857"
"1","5","10","0.01","784","(256, 256, 256, 256)","10","(-0,01, 0,01)","2.3016755720689","2.301888301259","2.3017804958139","10.842857142857"
"3","2","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,01, 0,01)","2.3011795090494","2.301596225292","2.301432434082","10.842857142857"
"1","3","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,01, 0,01)","2.3017146327382","2.3012563130969","2.3016880255228","10.842857142857"
"7","4","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,01, 0,01)","2.3013272676581","2.3006624423133","2.3015941034045","10.842857142857"
"6","5","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,01, 0,01)","2.3011885803607","2.301090553261","2.3016461750439","10.842857142857"
"2","2","10","0.01","784","(256, 256, 256, 256, 256)","10","(-0,01, 0,01)","2.3024701069934","2.301548720163","2.3024279894829","10.842857142857"
"1","3","10","0.01","784","(256, 256, 256, 256, 256)","10","(-0,01, 0,01)","2.3020428636954","2.3022428846359","2.3034922250234","10.842857142857"
"1","4","10","0.01","784","(256, 256, 256, 256, 256)","10","(-0,01, 0,01)","2.3020655709221","2.300538061914","2.302528764316","10.842857142857"
"3","5","10","0.01","784","(256, 256, 256, 256, 256)","10","(-0,01, 0,01)","2.3018207147481","2.301057900039","2.3017416899545","10.842857142857"
"10","2","10","0.001","784","(128, 256)","10","(-0,1, 0,1)","0.10095959906457","0.12017348027134","0.10773276009168","96.914285714286"
"10","3","10","0.001","784","(128, 256)","10","(-0,1, 0,1)","0.14123482821188","0.1477186454753","0.14039031878481","95.971428571429"
"10","4","10","0.001","784","(128, 256)","10","(-0,1, 0,1)","0.17374416024505","0.17910226289935","0.16784438505553","95.128571428571"
"10","5","10","0.001","784","(128, 256)","10","(-0,1, 0,1)","0.1891672444129","0.20942877716595","0.1811627398625","94.585714285714"
"3","2","10","0.01","784","(128, 256)","10","(-0,1, 0,1)","0.080342380107972","0.093492730076071","0.079911655168629","97.471428571429"
"6","3","10","0.01","784","(128, 256)","10","(-0,1, 0,1)","0.041631256074769","0.086824760548919","0.086451868482473","97.3"
"6","4","10","0.01","784","(128, 256)","10","(-0,1, 0,1)","0.048785152280837","0.095802758036328","0.07878267479174","97.614285714286"
"6","5","10","0.01","784","(128, 256)","10","(-0,1, 0,1)","0.059799006079916","0.09218679073921","0.075280325016187","97.785714285714"
"10","2","10","0.001","784","(256, 128)","10","(-0,1, 0,1)","0.091928920074389","0.1209193017736","0.10371827581108","96.928571428571"
"10","3","10","0.001","784","(256, 128)","10","(-0,1, 0,1)","0.12629729639874","0.14856182160108","0.1298918829616","96.2"
"10","4","10","0.001","784","(256, 128)","10","(-0,1, 0,1)","0.15538197909224","0.17109557846348","0.15532402287617","95.357142857143"
"10","5","10","0.001","784","(256, 128)","10","(-0,1, 0,1)","0.18149394617001","0.19205140987185","0.17655357719977","94.8"
"4","2","10","0.01","784","(256, 128)","10","(-0,1, 0,1)","0.051078365123922","0.092800280746319","0.076361960888407","97.671428571429"
"6","3","10","0.01","784","(256, 128)","10","(-0,1, 0,1)","0.031880748622862","0.088947850436596","0.074813492547004","97.871428571428"
"5","4","10","0.01","784","(256, 128)","10","(-0,1, 0,1)","0.053462221970045","0.089700324134549","0.081303414413215","97.471428571429"
"6","5","10","0.01","784","(256, 128)","10","(-0,1, 0,1)","0.049933883034007","0.081008829705904","0.076333616781054","97.585714285714"
"10","2","10","0.001","784","(256, 256)","10","(-0,1, 0,1)","0.087724839587046","0.10908602806525","0.098682079631798","96.871428571428"
"10","3","10","0.001","784","(256, 256)","10","(-0,1, 0,1)","0.11909337644365","0.14371164378553","0.12622077752053","96.242857142857"
"10","4","10","0.001","784","(256, 256)","10","(-0,1, 0,1)","0.14521253694717","0.16606573275993","0.1491362279919","95.728571428571"
"10","5","10","0.001","784","(256, 256)","10","(-0,1, 0,1)","0.16941744737264","0.18377074081534","0.1659672319677","94.942857142857"
"5","2","10","0.01","784","(256, 256)","10","(-0,1, 0,1)","0.035485796359384","0.087945882642028","0.07397954378568","97.7"
"7","3","10","0.01","784","(256, 256)","10","(-0,1, 0,1)","0.023792077735807","0.084191199152332","0.066909647211885","98.014285714286"
"5","4","10","0.01","784","(256, 256)","10","(-0,1, 0,1)","0.050716902512674","0.085377999443718","0.074471765621666","97.585714285714"
"6","5","10","0.01","784","(256, 256)","10","(-0,1, 0,1)","0.047699988005856","0.081953962571729","0.076308934010016","97.614285714286"
"10","2","10","0.001","784","(256, 256, 256)","10","(-0,1, 0,1)","0.061054247132371","0.10849955049662","0.088176601548613","97.271428571429"
"10","3","10","0.001","784","(256, 256, 256)","10","(-0,1, 0,1)","0.093229396043558","0.11038364179184","0.10529551159325","96.828571428571"
"10","4","10","0.001","784","(256, 256, 256)","10","(-0,1, 0,1)","0.11503175339642","0.13155025130502","0.12211528568177","96.357142857143"
"10","5","10","0.001","784","(256, 256, 256)","10","(-0,1, 0,1)","0.1362543476054","0.14750239663856","0.13826669114311","95.985714285714"
"3","2","10","0.01","784","(256, 256, 256)","10","(-0,1, 0,1)","0.071845964684517","0.083396906562769","0.076028466206477","97.471428571429"
"6","3","10","0.01","784","(256, 256, 256)","10","(-0,1, 0,1)","0.02934263436027","0.08164739434625","0.079908986047828","97.671428571429"
"6","4","10","0.01","784","(256, 256, 256)","10","(-0,1, 0,1)","0.034690481427857","0.075546067328413","0.074491710126895","97.514285714286"
"6","5","10","0.01","784","(256, 256, 256)","10","(-0,1, 0,1)","0.036299649146555","0.070827399629265","0.072834007611148","97.842857142857"
"7","2","10","0.001","784","(256, 256, 256, 256)","10","(-0,1, 0,1)","0.073753331598256","0.10608246054541","0.0953668484477","97.071428571428"
"10","3","10","0.001","784","(256, 256, 256, 256)","10","(-0,1, 0,1)","0.072503935076096","0.1111272684517","0.095666062230913","97.114285714286"
"10","4","10","0.001","784","(256, 256, 256, 256)","10","(-0,1, 0,1)","0.09697922746051","0.12555320512811","0.10834643503853","96.685714285714"
"10","5","10","0.001","784","(256, 256, 256, 256)","10","(-0,1, 0,1)","0.11457330776947","0.13996126307856","0.12646764818323","96.242857142857"
"3","2","10","0.01","784","(256, 256, 256, 256)","10","(-0,1, 0,1)","0.075067995925256","0.1008509532992","0.088922677146187","97.371428571428"
"3","3","10","0.01","784","(256, 256, 256, 256)","10","(-0,1, 0,1)","0.074824839125768","0.080723145307189","0.076826688547706","97.728571428571"
"6","4","10","0.01","784","(256, 256, 256, 256)","10","(-0,1, 0,1)","0.034539176155798","0.078715008500141","0.074486894274567","97.8"
"2","5","10","0.01","784","(256, 256, 256, 256)","10","(-0,1, 0,1)","0.12657918335357","0.11571513376837","0.097121714325648","97"
"6","2","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,1, 0,1)","0.079389178614438","0.10306177065649","0.090287220380555","97.285714285714"
"10","3","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,1, 0,1)","0.059551482501342","0.096111781340901","0.088091208103428","97.257142857143"
"10","4","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,1, 0,1)","0.076493299065383","0.12035167892695","0.10562695197537","96.914285714286"
"10","5","10","0.001","784","(256, 256, 256, 256, 256)","10","(-0,1, 0,1)","0.096366005014539","0.12789555235203","0.11175752733579","96.514285714286"
