"numero epoch","batch_size","nb_epochs","learning_rate","input_size","hidden_size","output_size","weight_init_range","Training Loss","Validation Loss","Test Loss","Accuracy",""
"9","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.2588866799573","2.1022498921837","2.1050086312551","20.571428571428",""
"10","3","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","1.7869080773617","1.5648588409168","1.5580865726858","34.871428571429",""
"1","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3022832544266","2.3012257561608","2.301536784717","10.842857142857",""
"2","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3012536968125","2.3011009080826","2.3014347412927","10.842857142857",""
"3","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3012274363684","2.3010796817144","2.3014320587431","10.842857142857",""
"4","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3012203944297","2.3011063273748","2.3014256301607","10.842857142857",""
"5","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3012117200238","2.3011118019952","2.3013935673577","10.842857142857",""
"6","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3011880424288","2.301078449658","2.3013814055579","10.842857142857",""
"7","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3011947741773","2.3010143811362","2.3013924749919","10.842857142857",""
"8","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3011366712669","2.3009684801858","2.3013654651642","10.842857142857",""
"9","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3009913122086","2.3005849660389","2.3010390772138","10.842857142857",""
"10","4","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.2996717617247","2.2962683717031","2.2969312384469","10.842857142857",""
"1","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.302530478485","2.30187750875","2.301338158335","10.842857142857",""
"2","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3011690567174","2.3018139870394","2.3014894696644","10.842857142857",""
"3","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3010106043447","2.301849650769","2.3015262854099","10.842857142857",""
"4","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3009953631059","2.3019065012061","2.301591117382","10.842857142857",""
"5","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3009849055419","2.3019338315441","2.3016545580115","10.842857142857",""
"6","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.300982621525","2.301946822613","2.3016588221278","10.842857142857",""
"7","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3009669948665","2.301953462192","2.3017295968532","10.842857142857",""
"8","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3009659251996","2.3019649768633","2.3017527999197","10.842857142857",""
"9","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.3009556744543","2.3019397342016","2.301672025919","10.842857142857",""
"10","5","10","0.001","784","(256, 128)","10","(-0,001, 0,001)","2.300927852378","2.301858679832","2.3015743999822","10.842857142857",""
"1","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","1.964100925155","0.80749378637135","0.77026189958391","75.342857142857",""
"2","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.3328310047868","0.17284570541672","0.15853787315619","95.085714285714",""
"3","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.15054535905209","0.13106301812061","0.11493597838875","96.457142857143",""
"4","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.10803866504107","0.12398433515194","0.11931739658962","96.342857142857",""
"5","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.082905483993208","0.12797615107951","0.11362816991497","96.471428571429",""
"6","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.067640044543702","0.1027812324646","0.099554530036165","97.157142857143",""
"7","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.056058493600691","0.11121876183347","0.099786605041293","96.985714285714",""
"8","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.045856429616789","0.10083862032477","0.085372881213179","97.457142857143",""
"9","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.038428977715058","0.10365197330152","0.085697429220613","97.585714285714",""
"10","2","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.030844500652834","0.10541734274924","0.096836798162946","97.542857142857",""
"1","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","2.3020179504298","2.3019387427966","2.300989343452","10.942857142857",""
"2","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","1.2002477473494","0.41760523298826","0.39141544993812","88.457142857143",""
"3","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.25586902737907","0.2105405478258","0.19007135327999","94.471428571429",""
"4","3","10","0.01","784","(256, 128)","10","(-0,001, 0,001)","0.1611349163877","0.16451249626616","0.15051983434138","95.828571428571",""
